PID: 0 | Name: System Idle Process
PID: 9096 | Name: crashpad_handler.exe
PID: 9196 | Name: WeChatAppEx.exe
PID: 9256 | Name: msedgewebview2.exe
PID: 9308 | Name: conhost.exe
PID: 9324 | Name: chrome.exe
PID: 9360 | Name: wetype_update.exe
PID: 9428 | Name: vmcompute.exe
PID: 9456 | Name: CrossDeviceResume.exe
PID: 9476 | Name: conhost.exe
PID: 9540 | Name: python.exe
PID: 9636 | Name: GameViewerServer.exe
PID: 9684 | Name: crashpad_handler.exe
PID: 9728 | Name: wetype_renderer.exe
PID: 9936 | Name: GameViewerHealthd.exe
PID: 10120 | Name: WeChatAppEx.exe
PID: 10172 | Name: postgres.exe
PID: 10296 | Name: svchost.exe
PID: 10368 | Name: msedge.exe
PID: 10496 | Name: svchost.exe
PID: 10600 | Name: svchost.exe
PID: 10660 | Name: svchost.exe
PID: 10764 | Name: node.exe
PID: 10952 | Name: postgres.exe
PID: 10976 | Name: ctfmon.exe
PID: 11064 | Name: python.exe
PID: 11072 | Name: steamwebhelper.exe
PID: 11104 | Name: TabTip.exe
PID: 11272 | Name: NgcIso.exe
PID: 11320 | Name: Weixin.exe
PID: 11392 | Name: postgres.exe
PID: 11484 | Name: AggregatorHost.exe
PID: 11500 | Name: postgres.exe
PID: 11812 | Name: Timer Widget.exe
PID: 11832 | Name: postgres.exe
PID: 11872 | Name: postgres.exe
PID: 11936 | Name: postgres.exe
PID: 12036 | Name: QQ.exe
PID: 12040 | Name: svchost.exe
PID: 12144 | Name: svchost.exe
PID: 12256 | Name: crashpad_handler.exe
PID: 12360 | Name: svchost.exe
PID: 12480 | Name: ChsIME.exe
PID: 12664 | Name: QQ.exe
PID: 12936 | Name: svchost.exe
PID: 13036 | Name: aida64.exe
PID: 13076 | Name: chrome.exe
PID: 13156 | Name: svchost.exe
PID: 13300 | Name: PowerToys.Peek.UI.exe
PID: 13396 | Name: WeChatAppEx.exe
PID: 13460 | Name: msedge.exe
PID: 13468 | Name: svchost.exe
PID: 13480 | Name: RuntimeBroker.exe
PID: 13856 | Name: QQ.exe
PID: 13876 | Name: svchost.exe
PID: 14196 | Name: msedgewebview2.exe
PID: 14316 | Name: msedgewebview2.exe
PID: 14508 | Name: msedgewebview2.exe
PID: 14516 | Name: msedgewebview2.exe
PID: 14624 | Name: HipsTray.exe
PID: 14692 | Name: msedgewebview2.exe
PID: 15140 | Name: steamwebhelper.exe
PID: 15256 | Name: svchost.exe
PID: 15472 | Name: Code.exe
PID: 15552 | Name: Weixin.exe
PID: 15644 | Name: svchost.exe
PID: 15868 | Name: svchost.exe
PID: 16356 | Name: svchost.exe
PID: 16440 | Name: WeFlow.exe
PID: 16528 | Name: conhost.exe
PID: 16628 | Name: TextInputHost.exe
PID: 16664 | Name: crashpad_handler.exe
PID: 16716 | Name: svchost.exe
PID: 16880 | Name: svchost.exe
PID: 16904 | Name: python.exe
PID: 17188 | Name: Antigravity.exe
PID: 17236 | Name: WindowsTerminal.exe
PID: 17608 | Name: RuntimeBroker.exe
PID: 17808 | Name: OpenConsole.exe
PID: 18024 | Name: svchost.exe
PID: 18052 | Name: PowerToys.ColorPickerUI.exe
PID: 18064 | Name: CrossDeviceService.exe
PID: 18084 | Name: PhoneExperienceHost.exe
PID: 18888 | Name: cloudflared.exe
PID: 19012 | Name: WeChatAppEx.exe
PID: 19036 | Name: Cherry Studio.exe
PID: 19472 | Name: WeChatAppEx.exe
PID: 19492 | Name: WeChatAppEx.exe
PID: 19820 | Name: memreduct.exe
PID: 19836 | Name: explorer.exe
PID: 20452 | Name: RuntimeBroker.exe
PID: 20528 | Name: promecefpluginhost.exe
PID: 20660 | Name: svchost.exe
PID: 20708 | Name: msedgewebview2.exe
PID: 20752 | Name: RuntimeBroker.exe
PID: 20772 | Name: chrome.exe
PID: 20784 | Name: svchost.exe
PID: 20876 | Name: wsctrlsvc.exe
PID: 20940 | Name: msedge.exe
PID: 21076 | Name: promecefpluginhost.exe
PID: 21152 | Name: svchost.exe
PID: 21380 | Name: camoufox.exe
PID: 21404 | Name: svchost.exe
PID: 21480 | Name: WeChatAppEx.exe
PID: 21536 | Name: chrome.exe
PID: 21592 | Name: conhost.exe
PID: 21868 | Name: steamwebhelper.exe
PID: 22784 | Name: extension-host.exe
PID: 22856 | Name: chrome.exe
PID: 22908 | Name: steam.exe
PID: 23088 | Name: Antigravity.exe
PID: 24040 | Name: msedge.exe
PID: 24516 | Name: WeChatAppEx.exe
PID: 24528 | Name: WeChatAppEx.exe
PID: 24844 | Name: pwsh.exe
PID: 24972 | Name: steamwebhelper.exe
PID: 25504 | Name: cmd.exe
PID: 25508 | Name: Cherry Studio.exe
PID: 25544 | Name: ShellExperienceHost.exe
PID: 25640 | Name: RuntimeBroker.exe
PID: 25708 | Name: Code.exe
PID: 25720 | Name: Cherry Studio.exe
PID: 25740 | Name: msedgewebview2.exe
PID: 26192 | Name: UserOOBEBroker.exe
PID: 26360 | Name: QQ.exe
PID: 26568 | Name: verge-mihomo.exe
PID: 26668 | Name: node.exe
PID: 26872 | Name: Weixin.exe
PID: 27020 | Name: Code.exe
PID: 27160 | Name: Cherry Studio.exe
PID: 27320 | Name: SteamService.exe
PID: 27348 | Name: WeChatAppEx.exe
PID: 27384 | Name: msedgewebview2.exe
PID: 27528 | Name: Timer Widget.exe
PID: 27792 | Name: EarTrumpet.exe
PID: 27884 | Name: WeChatAppEx.exe
PID: 27960 | Name: conhost.exe
PID: 28036 | Name: Timer Widget.exe
PID: 28504 | Name: Cherry Studio.exe
PID: 28632 | Name: XboxPcAppFT.exe
PID: 28664 | Name: node.exe
PID: 28720 | Name: node.exe
PID: 29344 | Name: Code.exe
PID: 29460 | Name: node.exe
PID: 29496 | Name: chrome.exe
PID: 29768 | Name: msedge.exe
PID: 29932 | Name: camoufox.exe
PID: 30004 | Name: msedgewebview2.exe
PID: 30392 | Name: pwsh.exe
PID: 30492 | Name: cmd.exe
PID: 30528 | Name: leigod.exe
PID: 30620 | Name: QQ.exe
PID: 30652 | Name: node.exe
PID: 30964 | Name: camoufox.exe
PID: 31124 | Name: leigod.exe
PID: 31316 | Name: cmd.exe
PID: 31400 | Name: svchost.exe
PID: 31560 | Name: chrome.exe
PID: 31756 | Name: node.exe
PID: 31780 | Name: conhost.exe
PID: 32016 | Name: node.exe
PID: 32160 | Name: steamwebhelper.exe
PID: 32288 | Name: taskhostw.exe
PID: 32440 | Name: cmd.exe
PID: 32500 | Name: node.exe
PID: 32676 | Name: promecefpluginhost.exe
PID: 32696 | Name: audiodg.exe
PID: 32704 | Name: svchost.exe
PID: 32796 | Name: steamwebhelper.exe
PID: 32912 | Name: msedgewebview2.exe
PID: 32952 | Name: fennara-mcp.exe
PID: 32956 | Name: extension-host.exe
PID: 32976 | Name: crashpad_handler.exe
PID: 33044 | Name: Code.exe
PID: 33288 | Name: explorer.exe
PID: 33656 | Name: conhost.exe
PID: 33888 | Name: Code.exe
PID: 33964 | Name: fennara-mcp-runtime.exe
PID: 33984 | Name: Code.exe
PID: 33996 | Name: OpenConsole.exe
PID: 34200 | Name: msedgewebview2.exe
PID: 34540 | Name: Code.exe
PID: 34560 | Name: Code.exe
PID: 34588 | Name: svchost.exe
PID: 34660 | Name: chrome.exe
PID: 35024 | Name: dwm.exe
PID: 35180 | Name: conhost.exe
PID: 35416 | Name: WeChatAppEx.exe
PID: 35760 | Name: EdgeGameAssist.exe
PID: 35824 | Name: svchost.exe
PID: 35856 | Name: cmd.exe
PID: 35936 | Name: msedgewebview2.exe
PID: 36376 | Name: cmd.exe
PID: 36384 | Name: svchost.exe
PID: 36404 | Name: QQ.exe
PID: 36424 | Name: conhost.exe
PID: 36428 | Name: explorer.exe
PID: 36548 | Name: clash-verge.exe
PID: 36680 | Name: promecefpluginhost.exe
PID: 36692 | Name: msedgewebview2.exe
PID: 36900 | Name: svchost.exe
PID: 37260 | Name: DataExchangeHost.exe
PID: 37328 | Name: conhost.exe
PID: 37332 | Name: camoufox.exe
PID: 37536 | Name: Antigravity.exe
PID: 37640 | Name: cmd.exe
PID: 37668 | Name: camoufox.exe
PID: 38220 | Name: wps.exe
PID: 38332 | Name: chrome.exe
PID: 38564 | Name: Antigravity.exe
PID: 38668 | Name: svchost.exe
PID: 39332 | Name: ShellHost.exe
PID: 39356 | Name: svchost.exe
PID: 39640 | Name: node.exe
PID: 39784 | Name: chrome.exe
PID: 40020 | Name: msedgewebview2.exe
PID: 40160 | Name: QQ.exe
PID: 40192 | Name: svchost.exe
PID: 40412 | Name: msedge.exe
PID: 40464 | Name: msedgewebview2.exe
PID: 40568 | Name: WeChatAppEx.exe
PID: 41072 | Name: OneDrive.Sync.Service.exe
PID: 41148 | Name: pwsh.exe
PID: 41156 | Name: msedgewebview2.exe
PID: 41500 | Name: HipsDaemon.exe
PID: 41540 | Name: msedgewebview2.exe
PID: 41696 | Name: explorer.exe
PID: 42296 | Name: pwsh.exe
PID: 42304 | Name: chrome.exe
PID: 42488 | Name: Antigravity.exe
PID: 42636 | Name: Weixin.exe
PID: 42740 | Name: leishenSdk.exe
PID: 42940 | Name: svchost.exe
PID: 42996 | Name: node.exe
PID: 43240 | Name: LockApp.exe
PID: 43320 | Name: chrome.exe
PID: 43324 | Name: NMS_PauseBeGone.exe
PID: 43408 | Name: cmd.exe
PID: 43552 | Name: Code.exe
PID: 43656 | Name: steamwebhelper.exe
PID: 43740 | Name: explorer.exe
PID: 43792 | Name: msedgewebview2.exe
PID: 44184 | Name: Antigravity.exe
PID: 44200 | Name: WeChatAppEx.exe
PID: 44380 | Name: WmiPrvSE.exe
PID: 44600 | Name: QQ.exe
PID: 44868 | Name: svchost.exe
PID: 45076 | Name: Antigravity.exe
PID: 45128 | Name: msedgewebview2.exe
PID: 45156 | Name: msedge.exe
PID: 45328 | Name: chrome.exe
PID: 45424 | Name: conhost.exe
PID: 45440 | Name: chrome.exe
PID: 45516 | Name: python.exe
PID: 45572 | Name: msedgewebview2.exe
PID: 46432 | Name: Code.exe
PID: 46672 | Name: cloudflared.exe
PID: 46680 | Name: QQ.exe
PID: 46776 | Name: leigod.exe
PID: 47236 | Name: language_server.exe
PID: 47336 | Name: antigravity_tools.exe
PID: 47344 | Name: Code.exe
PID: 47716 | Name: dllhost.exe
PID: 48276 | Name: msedgewebview2.exe
PID: 48360 | Name: dllhost.exe
PID: 48380 | Name: msedge.exe
PID: 48872 | Name: cmd.exe
PID: 49192 | Name: msedgewebview2.exe
PID: 49536 | Name: leigod.exe
PID: 50196 | Name: cpolar.exe
PID: 50252 | Name: chrome.exe
PID: 50460 | Name: conhost.exe
PID: 50468 | Name: WeChatAppEx.exe
PID: 50488 | Name: msedgewebview2.exe
PID: 50636 | Name: node.exe
PID: 50832 | Name: codegraphcontext.exe
PID: 51188 | Name: leigod.exe
PID: 51280 | Name: node.exe
PID: 51404 | Name: explorer.exe
PID: 51408 | Name: RuntimeBroker.exe
PID: 52196 | Name: msedge.exe
PID: 52280 | Name: chrome.exe
PID: 52836 | Name: WeChatAppEx.exe
PID: 52880 | Name: chrome.exe
PID: 53000 | Name: wpscloudsvr.exe
PID: 53196 | Name: chrome.exe
PID: 53424 | Name: node.exe
PID: 53436 | Name: cmd.exe
PID: 53612 | Name: uvx.exe
PID: 53664 | Name: WeChatAppEx.exe
PID: 53828 | Name: node.exe
PID: 54068 | Name: explorer.exe
PID: 54112 | Name: Weixin.exe
PID: 54312 | Name: cmd.exe
PID: 54456 | Name: camoufox.exe
PID: 54800 | Name: Antigravity.exe
PID: 54828 | Name: msedgewebview2.exe
